run,label,task,window,tp,fn,fp,precision,recall,f1
train_run_esm2,ESM2 (baseline),peptides,0,529,612,495,0.5166015625,0.4636283961437336,0.48868360277136264
train_run_esm2,ESM2 (baseline),propeptides,0,365,1020,940,0.2796934865900383,0.26353790613718414,0.27137546468401486
train_run_esm2,ESM2 (baseline),all,0,894,1632,1435,0.38385573207385143,0.35391923990498814,0.36828012358393414
train_run_esm2,ESM2 (baseline),peptides,1,600,541,424,0.5859375,0.5258545135845749,0.5542725173210162
train_run_esm2,ESM2 (baseline),propeptides,1,545,840,760,0.41762452107279696,0.3935018050541516,0.4052044609665428
train_run_esm2,ESM2 (baseline),all,1,1145,1381,1184,0.49162730785744957,0.45328582739509105,0.47167868177136973
train_run_esm2,ESM2 (baseline),peptides,2,647,494,377,0.6318359375,0.5670464504820333,0.597690531177829
train_run_esm2,ESM2 (baseline),propeptides,2,782,603,523,0.5992337164750958,0.5646209386281589,0.5814126394052045
train_run_esm2,ESM2 (baseline),all,2,1429,1097,900,0.61356805495921,0.565716547901821,0.5886714727085479
train_run_esm2,ESM2 (baseline),peptides,3,673,468,351,0.6572265625,0.5898334794040315,0.6217090069284065
train_run_esm2,ESM2 (baseline),propeptides,3,834,551,471,0.639080459770115,0.6021660649819495,0.6200743494423793
train_run_esm2,ESM2 (baseline),all,3,1507,1019,822,0.6470588235294118,0.5965954077593032,0.6208032955715755
train_run_esm2,ESM2 (baseline),peptides,4,691,450,333,0.6748046875,0.6056091148115688,0.6383371824480369
train_run_esm2,ESM2 (baseline),propeptides,4,855,530,450,0.6551724137931034,0.6173285198555957,0.6356877323420074
train_run_esm2,ESM2 (baseline),all,4,1546,980,783,0.6638042078145127,0.6120348376880443,0.6368692070030896
train_run_esm2,ESM2 (baseline),peptides,5,702,439,322,0.685546875,0.6152497808939527,0.648498845265589
train_run_esm2,ESM2 (baseline),propeptides,5,891,494,414,0.6827586206896552,0.6433212996389892,0.6624535315985131
train_run_esm2,ESM2 (baseline),all,5,1593,933,736,0.6839845427221983,0.6306413301662708,0.6562306900102987
esmc_6b,ESM-C 6B,peptides,0,524,617,838,0.38472834067547723,0.45924627519719546,0.4186975629244906
esmc_6b,ESM-C 6B,propeptides,0,464,951,897,0.3409257898603968,0.32791519434628974,0.3342939481268012
esmc_6b,ESM-C 6B,all,0,988,1568,1735,0.3628351083363937,0.3865414710485133,0.3743133169160826
esmc_6b,ESM-C 6B,peptides,1,633,508,729,0.4647577092511013,0.5547765118317266,0.5057930483419896
esmc_6b,ESM-C 6B,propeptides,1,623,792,738,0.4577516531961793,0.4402826855123675,0.4488472622478386
esmc_6b,ESM-C 6B,all,1,1256,1300,1467,0.4612559676827029,0.49139280125195617,0.4758476984277325
esmc_6b,ESM-C 6B,peptides,2,699,442,663,0.513215859030837,0.6126205083260298,0.5585297642828606
esmc_6b,ESM-C 6B,propeptides,2,801,614,560,0.588537839823659,0.566077738515901,0.5770893371757926
esmc_6b,ESM-C 6B,all,2,1500,1056,1223,0.5508630187293426,0.5868544600938967,0.5682894487592347
esmc_6b,ESM-C 6B,peptides,3,734,407,628,0.5389133627019089,0.6432953549517967,0.5864962045545347
esmc_6b,ESM-C 6B,propeptides,3,846,569,515,0.6216017634092579,0.5978798586572438,0.6095100864553313
esmc_6b,ESM-C 6B,all,3,1580,976,1143,0.5802423797282409,0.6181533646322379,0.5985982193597272
esmc_6b,ESM-C 6B,peptides,4,740,401,622,0.5433186490455213,0.6485539000876425,0.5912904514582501
esmc_6b,ESM-C 6B,propeptides,4,887,528,474,0.6517266715650257,0.6268551236749117,0.6390489913544669
esmc_6b,ESM-C 6B,all,4,1627,929,1096,0.5975027543150937,0.6365414710485133,0.6164046220875167
esmc_6b,ESM-C 6B,peptides,5,768,373,594,0.5638766519823789,0.6730937773882559,0.6136636036755893
esmc_6b,ESM-C 6B,propeptides,5,902,513,459,0.662747979426892,0.6374558303886926,0.6498559077809798
esmc_6b,ESM-C 6B,all,5,1670,886,1053,0.6132941608520015,0.6533646322378717,0.6326955862852813
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,0,656,485,541,0.5480367585630743,0.574934268185802,0.561163387510693
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,0,453,962,595,0.43225190839694655,0.3201413427561837,0.36784409257003653
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,0,1109,1447,1136,0.4939866369710468,0.4338810641627543,0.46198708602374505
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,1,729,412,468,0.6090225563909775,0.6389132340052586,0.6236099230111206
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,1,588,827,460,0.5610687022900763,0.415547703180212,0.4774665042630937
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,1,1317,1239,928,0.5866369710467706,0.5152582159624414,0.5486357008956467
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,2,782,359,415,0.6532999164578112,0.6853637160385626,0.6689478186484173
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,2,767,648,281,0.7318702290076335,0.5420494699646643,0.6228177019894438
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,2,1549,1007,696,0.689977728285078,0.6060250391236307,0.6452822328681526
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,3,807,334,390,0.6741854636591479,0.7072743207712533,0.6903336184773311
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,3,813,602,235,0.7757633587786259,0.5745583038869257,0.6601705237515224
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,3,1620,936,625,0.7216035634743875,0.6338028169014085,0.6748594042907727
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,4,822,319,375,0.6867167919799498,0.7204206836108676,0.7031650983746792
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,4,839,576,209,0.8005725190839694,0.5929328621908128,0.681282988225741
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,4,1661,895,584,0.7398663697104677,0.6498435054773083,0.691939179337638
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,peptides,5,843,298,354,0.7042606516290727,0.7388255915863278,0.7211291702309667
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,propeptides,5,855,560,193,0.8158396946564885,0.6042402826855123,0.6942752740560291
esmc6b_boundary_bond,ESM-C 6B + boundary/bond ★,all,5,1698,858,547,0.756347438752784,0.6643192488262911,0.7073526348677358
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,0,384,757,652,0.37065637065637064,0.33654688869412797,0.3527790537436839
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,0,330,1085,1099,0.23093072078376486,0.2332155477031802,0.2320675105485232
esmc6b_telescoping,ESM-C 6B + telescoping,all,0,714,1842,1751,0.2896551724137931,0.2793427230046948,0.2844054969129655
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,1,575,566,461,0.555019305019305,0.5039439088518843,0.5282498851630685
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,1,633,782,796,0.4429671098670399,0.44734982332155476,0.44514767932489446
esmc6b_telescoping,ESM-C 6B + telescoping,all,1,1208,1348,1257,0.4900608519269777,0.4726134585289515,0.48117904799840666
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,2,634,507,402,0.611969111969112,0.5556529360210342,0.5824529168580616
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,2,822,593,607,0.5752274317704689,0.5809187279151944,0.5780590717299579
esmc6b_telescoping,ESM-C 6B + telescoping,all,2,1456,1100,1009,0.5906693711967546,0.5696400625978091,0.579964150567616
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,3,665,476,371,0.6418918918918919,0.5828220858895705,0.6109324758842444
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,3,885,530,544,0.6193142057382786,0.6254416961130742,0.6223628691983122
esmc6b_telescoping,ESM-C 6B + telescoping,all,3,1550,1006,915,0.6288032454361054,0.6064162754303599,0.6174068910575582
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,4,681,460,355,0.6573359073359073,0.5968448729184925,0.6256316031235646
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,4,911,504,518,0.6375087473757872,0.6438162544169611,0.640646976090014
esmc6b_telescoping,ESM-C 6B + telescoping,all,4,1592,964,873,0.645841784989858,0.622848200312989,0.6341366261700857
esmc6b_telescoping,ESM-C 6B + telescoping,peptides,5,704,437,332,0.6795366795366795,0.6170026292725679,0.6467615985300872
esmc6b_telescoping,ESM-C 6B + telescoping,propeptides,5,933,482,496,0.6529041287613716,0.6593639575971731,0.6561181434599156
esmc6b_telescoping,ESM-C 6B + telescoping,all,5,1637,919,828,0.6640973630831642,0.6404538341158059,0.6520613423620794
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,0,535,606,467,0.5339321357285429,0.4688869412795793,0.49930004666355576
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,0,440,945,823,0.34837688044338877,0.3176895306859206,0.33232628398791547
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,0,975,1551,1290,0.4304635761589404,0.3859857482185273,0.40701314965560426
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,1,606,535,396,0.6047904191616766,0.5311130587204207,0.5655622958469435
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,1,593,792,670,0.46951702296120346,0.42815884476534294,0.4478851963746223
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,1,1199,1327,1066,0.5293598233995584,0.4746634996041172,0.5005218117303276
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,2,657,484,345,0.655688622754491,0.5758106923751095,0.6131591227251516
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,2,782,603,481,0.6191607284243864,0.5646209386281589,0.5906344410876132
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,2,1439,1087,826,0.6353200883002208,0.5696753760886778,0.6007096639532457
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,3,680,461,322,0.6786427145708582,0.595968448729185,0.6346243583761083
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,3,831,554,432,0.6579572446555819,0.6,0.6276435045317221
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,3,1511,1015,754,0.6671081677704195,0.598178939034046,0.630766019620121
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,4,702,439,300,0.7005988023952096,0.6152497808939527,0.6551563229118059
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,4,857,528,406,0.6785431512272367,0.6187725631768953,0.6472809667673717
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,4,1559,967,706,0.6883002207505519,0.617181314330958,0.6508035900647047
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),peptides,5,719,422,283,0.717564870259481,0.6301489921121823,0.6710219318712086
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),propeptides,5,875,510,388,0.6927949326999209,0.631768953068592,0.6608761329305136
train_run_esm2+3di_proj_gated_conv,ESM2 + 3Di (proj gated conv),all,5,1594,932,671,0.7037527593818984,0.6310372129849564,0.6654143185138801
