run,p_all,r_all,f1_all,p_any,r_any,f1_any,f1_gap,mistyped_frac,pep_mistyped_frac,propep_mistyped_frac
esm2_aho_emission_fusion,0.6927083333333334,0.5791765637371338,0.6308753773178094,0.7149621212121212,0.5977830562153602,0.6511427339370418,0.0202673566192324,0.03083989501312336,0.025373134328358207,0.0351288056206089
esm2_aho_emission_fusion_h32,0.6817298347910593,0.5554235946159937,0.6121291448516579,0.7133138969873664,0.5811559778305622,0.6404886561954625,0.028359511343804544,0.04380053908355795,0.03483309143686502,0.05157232704402516
esm2_aho_mid_fusion_raw_m64,0.6917440156326331,0.5605700712589073,0.619287120052482,0.7127503663898388,0.5775930324623911,0.6380931554778044,0.018806035425322443,0.029192124915139173,0.03283582089552239,0.026151930261519303
esm2_aho_mid_fusion_raw_m64_pep_only,0.6681659170414792,0.5292953285827395,0.5906781533024077,0.6881559220389805,0.5451306413301663,0.6083499005964215,0.017671747294013773,0.02875629043853343,0.041666666666666664,0.018252933507170794
esm2_aho_state_bias_pep_boundary_010,0.6768023540951447,0.5463182897862233,0.6046002190580504,0.702795487984306,0.5673000791765638,0.6278203723986856,0.023220153340635208,0.036627505183137524,0.020061728395061727,0.05006257822277847
esm2_aho_tribranch,0.6461206896551724,0.5934283452098179,0.618654560462237,0.6745689655172413,0.619556611243072,0.6458935204292199,0.02723895996698289,0.04177215189873418,0.031117397454031116,0.050400916380297825
esm2_boundary_bond_l002_w5_tau15,0.6868344627299129,0.5617577197149644,0.6180313588850174,0.7245885769603098,0.5926365795724465,0.6520034843205575,0.03397212543554018,0.05168986083499006,0.01422475106685633,0.08436724565756824
esm2_boundary_only_scale10,0.7061224489795919,0.547901821060966,0.6170307623718235,0.7505102040816326,0.5823436262866192,0.6558181007579135,0.03878733838608994,0.05850706119704102,0.008583690987124463,0.10279187817258884
esm2_lora_lstmcnncrf,0.608411214953271,0.5154394299287411,0.5580797256750963,0.62739597942964,0.5312747426761678,0.57534833869239,0.017268613017293655,0.030950626381724394,0.0364963503649635,0.027194066749072928
esm2_lora_lstmcnncrf_r4_last2_qv,0.6550829875518672,0.5,0.5671306690615178,0.674792531120332,0.5150435471100554,0.5841939829366861,0.01706331387516835,0.0289193302891933,0.015463917525773196,0.03961748633879782
esm2_telescoping_segmental,0.6405510116229014,0.5890736342042755,0.6137347906784903,0.6676711149375807,0.6140142517814727,0.6397195297999588,0.02598473912146848,0.040255591054313096,0.04189944134078212,0.038869257950530034
esmc6b_boundary_bond,0.7216035634743875,0.6338028169014085,0.6748594042907727,0.7510022271714922,0.6596244131455399,0.702353676317434,0.027494272026661215,0.03882352941176471,0.0036407766990291263,0.07191780821917808
esmc6b_boundary_only,0.7456896551724138,0.6091549295774648,0.6705426356589147,0.7648467432950191,0.6248043818466353,0.6877691645133505,0.017226528854435763,0.024844720496894408,0.013333333333333334,0.03488372093023256
esmc6b_telescoping,0.6288032454361054,0.6064162754303599,0.6174068910575582,0.6647704185290533,0.6400625978090767,0.652182579230616,0.03477568817305776,0.05205811138014528,0.07608695652173914,0.03275109170305677
esmc_6b,0.5802423797282409,0.6181533646322379,0.5985982193597272,0.5975027543150937,0.6365414710485133,0.6164046220875167,0.01780640272778944,0.028641072516758074,0.015810276679841896,0.03968253968253968
scaling_trainfrac50,0.5424610051993067,0.49564528899445764,0.5179975175837815,0.5619584055459272,0.5134600158353128,0.5366156392221763,0.018618121638394713,0.03437738731856379,0.016216216216216217,0.04774535809018567
scaling_trainfrac60,0.5779467680608364,0.5415676959619953,0.5591661557326792,0.5940008449514153,0.5566112430720507,0.574698548947476,0.015532393214796714,0.02679830747531735,0.016129032258064516,0.03508771929824561
scaling_trainfrac70,0.5724876441515651,0.55027711797308,0.5611626968106581,0.5930807248764415,0.5700712589073634,0.5813484053290271,0.020185708518368983,0.03445899379738112,0.02066772655007949,0.045012165450121655
scaling_trainfrac80,0.5786308973172988,0.49524940617577196,0.533703071672355,0.597132284921369,0.5110847189231987,0.5507679180887373,0.017064846416382284,0.03069838833461243,0.02888086642599278,0.03204272363150868
scaling_trainfrac90,0.6108179419525066,0.5498812351543944,0.5787500000000001,0.6319261213720316,0.5688836104513064,0.59875,0.019999999999999907,0.03310344827586207,0.037037037037037035,0.02967741935483871
train_run_3di_only,0.17304189435336975,0.03760886777513856,0.061788617886178863,0.29326047358834245,0.06373713380839272,0.10471544715447155,0.042926829268292686,0.4074074074074074,0.0,1.0
train_run_aft,0.5316901408450704,0.30296950240770465,0.38599182004089977,0.5633802816901409,0.32102728731942215,0.40899795501022496,0.023006134969325187,0.05583126550868486,0.0026455026455026454,0.102803738317757
train_run_aft_no_lddt,0.4656526005888126,0.38081861958266455,0.41898454746136865,0.5289499509322866,0.43258426966292135,0.4759381898454746,0.05695364238410594,0.11900369003690037,0.0020325203252032522,0.21621621621621623
train_run_aft_plddt70,0.3160322952710496,0.24269264836138174,0.2745490981963928,0.32410611303344866,0.24889282550930025,0.28156312625250496,0.007014028056112176,0.02491103202846975,0.037037037037037035,0.023622047244094488
train_run_aft_single,0.5667311411992263,0.23515248796147672,0.3323879750425411,0.5909090909090909,0.24518459069020868,0.34656834940442427,0.014180374361883186,0.04051863857374392,0.0,0.06963788300835655
train_run_esm2,0.6470588235294118,0.5965954077593032,0.6208032955715755,0.6663804207814513,0.6144101346001584,0.6393408856848609,0.018537590113285374,0.028735632183908046,0.02418207681365576,0.03244495944380069
train_run_esm2+3di_proj,0.6422338568935427,0.5827395091053048,0.6110419261104193,0.6705933682373473,0.6084718923198733,0.6380240763802407,0.026982150269821426,0.041908446163765316,0.03168044077134986,0.05090909090909091
train_run_esm2+3di_proj_gated,0.699816961561928,0.45407759303246237,0.5507803121248499,0.7175106772422208,0.4655581947743468,0.5647058823529412,0.013925570228091266,0.024390243902439025,0.012259194395796848,0.03559870550161812
train_run_esm2+3di_proj_gated_conv,0.6671081677704195,0.598178939034046,0.630766019620121,0.6931567328918322,0.6215360253365004,0.6553955332915885,0.024629513671467484,0.037247474747474744,0.025280898876404494,0.047018348623853214
train_run_esm2_100,0.6639579349904398,0.5498812351543944,0.6015591165006497,0.6811663479923518,0.5641330166270784,0.6171502815071459,0.015591165006496155,0.025034770514603615,0.02365930599369085,0.026119402985074626
train_run_esm2_25,0.46678321678321677,0.4337936636880585,0.4496842105263158,0.49038461538461536,0.45572705117790413,0.4724210526315789,0.02273684210526311,0.04770318021201413,0.01276595744680851,0.07250755287009064
train_run_esm2_50,0.5183028286189684,0.5060926076360682,0.512124948623099,0.5374376039933444,0.5247766043866775,0.5310316481709824,0.018906699547883377,0.03533026113671275,0.03202846975088968,0.03783783783783784
train_run_esm2_75,0.5987478656801366,0.5574986751457339,0.5773874862788144,0.6112692088787707,0.5691573926868044,0.5894621295279913,0.012074643249176842,0.020351526364477335,0.011695906432748537,0.028169014084507043
train_run_esm2_adamw,0.6091030789825971,0.5403800475059383,0.5726872246696036,0.6300758589915216,0.5589865399841647,0.592406125445773,0.019718900776169335,0.03298245614035088,0.018433179723502304,0.04521963824289406
train_run_esm2_aft,0.6062240663900414,0.5879275653923541,0.5969356486210419,0.6481327800829876,0.6285714285714286,0.6382022471910113,0.04126659856996939,0.06404565630944832,0.03581267217630854,0.0881316098707403
train_run_esm2_aft_no_lddt_gated,0.6019777503090235,0.5879275653923541,0.5948697068403909,0.638648537288834,0.6237424547283702,0.6311074918566775,0.036237785016286606,0.05694177863083813,0.02664796633941094,0.08235294117647059
train_run_esm2_aft_pair_gated,0.6598417868776175,0.5706237424547284,0.6119982736296936,0.6817124243834342,0.5895372233400402,0.6322831247302546,0.020284851100560997,0.031799729364005415,0.027576197387518143,0.035487959442332066
train_run_esm2_aft_plddt70,0.6001863932898416,0.5724444444444444,0.5859872611464968,0.608574091332712,0.5804444444444444,0.5941765241128298,0.008189262966333044,0.0136986301369863,0.04371584699453552,0.002109704641350211
train_run_esm2_aft_single_gated,0.6223100570926657,0.5702213279678069,0.5951280974380513,0.6512955643390426,0.5967806841046278,0.622847543049139,0.027719445611087745,0.04408817635270541,0.03337969401947149,0.05398457583547558
train_run_esm2_conv,0.5983572895277207,0.5768012668250198,0.5873815762951018,0.6353182751540041,0.61243072050673,0.6236645837532756,0.03628300745817381,0.057692307692307696,0.03905160390516039,0.07354685646500593
train_run_esm2_only_homo,0.3954599761051374,0.13103721298495646,0.19684805233422542,0.3966547192353644,0.13143309580364212,0.19744275944097534,0.0005947071067499143,0.0029850746268656717,0.0,0.004975124378109453
train_run_esm2_plus,0.6589303733602422,0.5170229612034838,0.5794143744454304,0.6866801210898082,0.5387965162311956,0.6038154392191658,0.02440106477373538,0.04002911208151383,0.03262642740619902,0.045992115637319315
train_run_esm2_plus_proj_gated,0.6121703853955375,0.5973871733966746,0.6046884391905429,0.6425963488843813,0.6270783847980997,0.6347425365658184,0.030054097375275424,0.04693366708385482,0.027247956403269755,0.06365740740740741
train_run_esmc_600m,0.6379555134879319,0.5273865414710485,0.5774255729278218,0.6578324656885944,0.5438184663536776,0.5954165774255729,0.01799100449775104,0.02993585174625802,0.030201342281879196,0.02973977695167286
train_run_prostt5,0.5933734939759037,0.46153846153846156,0.5192180979573908,0.6320281124497992,0.49160484185864894,0.5530419503623984,0.033823852405007626,0.060821484992101105,0.04158790170132325,0.07462686567164178
train_run_prostt5_plus,0.5796146044624746,0.44631003514252243,0.5043017868960953,0.6100405679513184,0.4697383834439672,0.5307743216412971,0.026472534745201837,0.0495458298926507,0.04021937842778794,0.0572289156626506
uni2026_run_esm2,0.7437869822485207,0.3898883374689826,0.5115995115995116,0.7548845470692718,0.3955941669252249,0.5191368078175895,0.007537296218077971,0.01430722891566265,0.0140625,0.014534883720930232
