run,label,old_f1_all,new_f1_all,old_p_all,new_p_all,old_r_all,new_r_all,mcc_all,auc_all,old_f1_peptides,new_f1_peptides,old_p_peptides,new_p_peptides,old_r_peptides,new_r_peptides,mcc_peptides,auc_peptides,old_f1_propeptides,new_f1_propeptides,old_p_propeptides,new_p_propeptides,old_r_propeptides,new_r_propeptides,mcc_propeptides,auc_propeptides
train_run_esm2+3di_proj,(ProstT5-3Di + ESM2) проектор,0.596315,0.611042,0.634581,0.642234,0.562401,0.58274,0.744825,0.918707,0.583521,0.610816,0.603352,0.617937,0.564952,0.603856,0.698029,0.933610,0.607436,0.611241,0.663248,0.665251,0.560289,0.565343,0.711105,0.920006
train_run_esm2+3di_proj_gated,(ProstT5-3Di + ESM2) проектор + gate,0.544843,0.55078,0.697231,0.699817,0.447119,0.454078,0.659232,0.806648,0.530109,0.542056,0.611617,0.617713,0.46777,0.48291,0.603756,0.837591,0.558837,0.559099,0.797858,0.797858,0.430014,0.430325,0.682198,0.805804
train_run_esm2+3di_proj_gated_conv,(ProstT5-3Di + ESM2) проектор + gate + conv,0.611427,0.630766,0.657895,0.667108,0.571091,0.598179,0.731106,0.911989,0.602934,0.634624,0.664234,0.678643,0.551993,0.595968,0.682221,0.915861,0.618251,0.627644,0.653012,0.657957,0.587004,0.6,0.708054,0.908232
train_run_aft_no_lddt,"AFTK все без lddt, без фильтра",0.408254,0.418985,0.457939,0.465653,0.368295,0.380819,0.615472,0.943004,0.385036,0.403998,0.363781,0.377138,0.408929,0.434978,0.544048,0.943525,0.434211,0.435885,0.616,0.617021,0.335269,0.336964,0.528059,0.930133
train_run_aft,"AFTK все каналы, без фильтра",0.381827,0.385992,0.52937,0.53169,0.298603,0.30297,0.549559,0.945572,0.3816,0.389093,0.464377,0.468434,0.323869,0.332735,0.497541,0.946604,0.382045,0.383042,0.610845,0.611465,0.277939,0.278867,0.522004,0.951959
train_run_aft_plddt70,"AFTK все, >70% avg pLDDT",0.274137,0.274549,0.316032,0.316032,0.242049,0.242693,0.578794,0.949674,0.069333,0.069612,0.065,0.065,0.074286,0.074928,0.483164,0.951562,0.397118,0.397118,0.531049,0.531049,0.317136,0.317136,0.517332,0.944554
train_run_aft_single,"AFTK только single, без фильтра",0.3307,0.332388,0.566731,0.566731,0.233466,0.235152,0.531177,0.939182,0.312268,0.315592,0.522822,0.522822,0.222615,0.226009,0.467706,0.934169,0.346114,0.346293,0.605072,0.605072,0.24238,0.242556,0.525354,0.945122
train_run_esmc_600m,ESM-C (600M),0.568417,0.577426,0.633269,0.637956,0.515613,0.527387,0.713288,0.953660,0.535471,0.546951,0.60483,0.610811,0.480384,0.49518,0.628946,0.958442,0.594595,0.601614,0.655319,0.659091,0.54417,0.553357,0.706027,0.960140
esmc_6b,ESM-C 6B,0.579471,0.598598,0.569654,0.580242,0.589634,0.618153,0.758310,0.967942,0.562424,0.586496,0.52568,0.538913,0.604692,0.643295,0.728171,0.971470,0.594831,0.60951,0.613363,0.621602,0.577385,0.59788,0.746194,0.970620
esmc6b_boundary_only,ESM-C 6B + boundary-голова (без bond),0.659322,0.670543,0.741857,0.74569,0.593313,0.609155,0.756751,0.968161,0.661952,0.682629,0.728216,0.735086,0.606742,0.63716,0.732483,0.976643,0.657097,0.660302,0.753888,0.755232,0.582332,0.586572,0.733940,0.971431
esmc6b_boundary_w3,"ESM-C 6B + boundary-голова, окно W3 (без bond)",0.63464,0.653589,0.692096,0.700358,0.585992,0.612676,0.750205,0.969819,0.593507,0.627363,0.628267,0.644773,0.562392,0.610868,0.689902,0.972696,0.669793,0.676265,0.749781,0.752381,0.605226,0.614134,0.742193,0.977335
esmc6b_boundary_bond,ESM-C 6B + boundary/bond  ★ лучший,0.657131,0.674859,0.71422,0.721604,0.608492,0.633803,0.764590,0.968315,0.655623,0.690334,0.658494,0.674185,0.652778,0.707274,0.730127,0.978794,0.658537,0.660171,0.77512,0.775763,0.572438,0.574558,0.731118,0.972640
esmc6b_telescoping,ESM-C 6B + телескопический сегментный CRF,0.600603,0.617407,0.620174,0.628803,0.582229,0.606416,0.747489,0.961206,0.591393,0.610932,0.632673,0.641892,0.555169,0.582822,0.700470,0.964979,0.607676,0.622363,0.611151,0.619314,0.60424,0.625442,0.753399,0.966499
esmc6b_3di_gated_boundary,ESM-C 6B ⊕ 3Di gated + boundary,0.675877,0.691903,0.731371,0.737999,0.62821,0.651227,0.745621,0.960947,0.66697,0.685843,0.695735,0.703875,0.640489,0.668712,0.708541,0.970119,0.683706,0.697233,0.764969,0.770306,0.618051,0.636823,0.757957,0.962835
train_run_esm2,ESM2 (базовая),0.607269,0.620803,0.640105,0.647059,0.577637,0.596595,0.750341,0.963318,0.604196,0.621709,0.648649,0.657227,0.565445,0.589833,0.694316,0.968957,0.609738,0.620074,0.633463,0.63908,0.587726,0.602166,0.744666,0.963109
train_run_esm2_only_homo,"ESM2 (обучение только на Homo, 40 эпох)",0.187777,0.196848,0.385922,0.39546,0.124073,0.131037,0.541783,0.952900,0.13571,0.152681,0.209964,0.227826,0.100255,0.114812,0.418276,0.960245,0.242718,0.242866,0.763359,0.763359,0.1443,0.144404,0.610919,0.959093
train_run_esm2_aft_plddt70,ESM2 + (AFTK >70% pLDDT) gate+conv,0.573523,0.585987,0.593365,0.600186,0.554965,0.572444,0.661739,0.937494,0.523737,0.526154,0.564356,0.564356,0.488571,0.492795,0.566971,0.919082,0.594771,0.611111,0.605053,0.614286,0.584833,0.607969,0.702439,0.963546
train_run_esm2_aft_pair_gated,ESM2 + (AFTK pair) gate+conv,0.594512,0.611998,0.65124,0.659842,0.546875,0.570624,0.722109,0.871451,0.57556,0.604694,0.60609,0.620983,0.547957,0.589238,0.679991,0.868072,0.611111,0.618448,0.693878,0.697525,0.545985,0.555474,0.699890,0.882404
train_run_esm2_aft_single_gated,ESM2 + (AFTK single) gate+conv,0.57689,0.595128,0.612263,0.62231,0.545382,0.570221,0.722036,0.932937,0.594396,0.618034,0.61211,0.624542,0.577679,0.611659,0.684605,0.936704,0.561833,0.575342,0.612403,0.620253,0.518978,0.536496,0.673970,0.935093
train_run_esm2_aft_no_lddt_gated,ESM2 + (AFTK без lddt) gate+conv,0.564911,0.59487,0.585052,0.601978,0.546111,0.587928,0.744293,0.959212,0.545616,0.590633,0.545859,0.571788,0.545374,0.610762,0.692405,0.957907,0.581748,0.598619,0.621577,0.631068,0.546715,0.569343,0.692524,0.952060
train_run_esm2_aft,ESM2 + (AFTK все) gate+conv,0.568395,0.596936,0.589888,0.606224,0.548413,0.587928,0.731560,0.954400,0.545615,0.587731,0.538261,0.563322,0.553172,0.61435,0.663274,0.956801,0.588792,0.605304,0.640893,0.649916,0.544526,0.566423,0.688302,0.949769
esm2_aho_tribranch,ESM2 + Aho раннее слияние (concat),0.594346,0.618655,0.633482,0.646121,0.559763,0.593428,0.738490,0.960003,0.568276,0.604148,0.602927,0.622098,0.537391,0.587204,0.672301,0.957566,0.616154,0.630898,0.659259,0.666935,0.578339,0.598556,0.707779,0.960633
esm2_aho_state_bias_pep_boundary_010,ESM2 + Aho смещение состояний (pep boundary 0.10),0.591891,0.6046,0.670829,0.676802,0.529574,0.546318,0.734516,0.957072,0.581836,0.600386,0.659692,0.668099,0.520417,0.545136,0.664593,0.953382,0.600242,0.608103,0.680073,0.684116,0.537184,0.547292,0.735815,0.964071
esm2_aho_transition_bias_sparse_trainable_zero,ESM2 + Aho-сигнал в переходы CRF,0.557701,N/A,0.628897,N/A,0.500985,N/A,N/A,N/A,0.543364,N/A,0.606417,N/A,0.492188,N/A,N/A,N/A,0.569810,N/A,0.648250,N/A,0.508303,N/A,N/A,N/A
esm2_aho_mid_fusion_raw_m64,ESM2 + Aho-слияние на скрытом состоянии,0.604754,0.619287,0.685287,0.691744,0.541158,0.56057,0.707381,0.946109,0.612388,0.630846,0.722877,0.729574,0.531196,0.555653,0.662767,0.945820,0.598741,0.610222,0.657736,0.663837,0.549458,0.564621,0.707747,0.957996
esm2_aho_mid_fusion_raw_m64_pep_only,ESM2 + Aho-слияние на скрытом состоянии (только пептиды),0.580631,0.590678,0.664646,0.668166,0.515472,0.529295,0.695716,0.932374,0.58363,0.598974,0.718398,0.721879,0.491438,0.511832,0.650259,0.941389,0.578332,0.5844,0.628281,0.631711,0.53574,0.543682,0.703953,0.945151
esm2_aho_emission_fusion,ESM2 + Aho-слияние на эмиссиях,0.615217,0.630875,0.685562,0.692708,0.557965,0.579177,0.736634,0.949351,0.593567,0.616795,0.675916,0.686359,0.529105,0.560035,0.681133,0.957931,0.632653,0.642245,0.693035,0.697714,0.581949,0.594946,0.735131,0.953691
esm2_aho_emission_fusion_h32,ESM2 + Aho-слияние на эмиссиях (скрытый слой 32),0.596175,0.612129,0.674291,0.68173,0.534279,0.555424,0.732985,0.959071,0.594877,0.613497,0.656545,0.664622,0.543799,0.569676,0.672661,0.959887,0.597296,0.610953,0.690341,0.697222,0.526354,0.543682,0.720558,0.966188
esm2_boundary_bond_l002_w5_tau15,ESM2 + boundary/bond,0.60618,0.618031,0.681281,0.686834,0.545993,0.561758,0.739225,0.964187,0.580876,0.601856,0.595784,0.606952,0.566696,0.596845,0.702697,0.975393,0.630538,0.633748,0.780618,0.78178,0.52886,0.532852,0.673726,0.961071
train_run_esm2_plus,ESM2 + биохим. признаки остатков,0.566139,0.579414,0.652442,0.65893,0.5,0.517023,0.730344,0.948155,0.55091,0.568349,0.636364,0.644444,0.48569,0.508326,0.653151,0.950636,0.578776,0.588569,0.665728,0.67098,0.511913,0.524188,0.735123,0.960985
esm2_bond_loss_soft_l005_w5_tau15,ESM2 + доп. лосс разрезов к ближайшей границе,0.559036,N/A,0.628571,N/A,0.503353,N/A,N/A,N/A,0.543021,N/A,0.602972,N/A,0.493913,N/A,N/A,N/A,0.572584,N/A,0.650735,N/A,0.511191,N/A,N/A,N/A
train_run_esm2_conv,ESM2 + многомасштабный проектор (multiscale),0.566653,0.587382,0.586993,0.598357,0.547675,0.576801,0.720640,0.950529,0.550435,0.580009,0.551874,0.568067,0.549003,0.592463,0.653280,0.954751,0.580967,0.593916,0.619984,0.627309,0.54657,0.563899,0.681034,0.954434
esm2_telescoping_segmental,ESM2 + телескопический сегментный CRF,0.59617,0.613735,0.631672,0.640551,0.564446,0.589074,0.731435,0.949136,0.613636,0.632471,0.675,0.682927,0.5625,0.588957,0.678885,0.957935,0.582467,0.599119,0.599847,0.60941,0.566065,0.58917,0.705561,0.953780
esm2_boundary_only_scale10,ESM2 + только boundary-голова (scale 10),0.596981,0.617031,0.697002,0.706122,0.522065,0.547902,0.739462,0.971483,0.590629,0.628306,0.649324,0.667653,0.541667,0.593339,0.664214,0.975610,0.602752,0.606607,0.745745,0.747357,0.505772,0.510469,0.697027,0.968795
esm2_lora_lstmcnncrf_r4_last2_qv,"ESM2 LoRA (rank4, last2 q/v) + boundary/bond",0.554682,0.567131,0.65,0.655083,0.483745,0.5,0.701641,0.957948,0.524939,0.545455,0.604236,0.612445,0.464041,0.491674,0.647554,0.957980,0.580402,0.585732,0.690927,0.693676,0.500361,0.506859,0.714547,0.963586
esm2_lora_lstmcnncrf,"ESM2 LoRA (rank8, last4 q/v) + boundary/bond",0.543333,0.55808,0.6,0.608411,0.496445,0.515439,0.702820,0.940924,0.495984,0.513944,0.584615,0.595156,0.430689,0.452235,0.589255,0.932329,0.579127,0.591422,0.6104,0.617439,0.550903,0.567509,0.728597,0.960603
uni2026_run_esm2,ESM2 на датасете uniprot_2026,0.501011,0.5116,0.741029,0.743787,0.378436,0.389888,0.608859,0.926972,0.491152,0.508341,0.761714,0.764861,0.36242,0.380671,0.587169,0.904733,0.5097,0.514416,0.724324,0.726688,0.393192,0.398121,0.603024,0.947697
train_run_esm2_adamw,ESM2 с AdamW (60 эпох),0.560321,0.572687,0.60218,0.609103,0.523904,0.54038,0.728608,0.961908,0.541272,0.559428,0.560224,0.570647,0.52356,0.548642,0.687279,0.968435,0.577107,0.584421,0.64191,0.645979,0.524188,0.533574,0.702653,0.965775
train_run_esm2_plus_proj_gated,ESM2+ + трёхветочный gated-проектор,0.583096,0.604688,0.600167,0.61217,0.56697,0.597387,0.760374,0.956718,0.562609,0.59685,0.560659,0.580298,0.564572,0.614373,0.728848,0.970646,0.601068,0.611658,0.637025,0.6428,0.568953,0.583394,0.704477,0.952562
train_run_prostt5,ProstT5,0.509476,0.519218,0.587996,0.593373,0.449456,0.461538,0.718867,0.957073,0.477438,0.485909,0.541254,0.545256,0.427083,0.438212,0.590920,0.945014,0.536132,0.546693,0.628193,0.634419,0.467606,0.480282,0.703587,0.965767
train_run_prostt5_plus,ProstT5 + признаки остатков,0.495466,0.504302,0.574654,0.579615,0.435459,0.44631,0.696933,0.943301,0.485053,0.497833,0.545553,0.55235,0.436632,0.453111,0.575353,0.915827,0.504291,0.509772,0.600779,0.604247,0.434507,0.440845,0.685444,0.967586
train_run_esm2_100,Масштабирование данных: 100% train,0.588107,0.601559,0.657574,0.663958,0.531915,0.549881,0.729445,0.954276,0.5778,0.597339,0.673988,0.682432,0.505637,0.531113,0.665080,0.952369,0.596191,0.604867,0.645623,0.650332,0.553791,0.565343,0.738276,0.961708
train_run_esm2_25,"Масштабирование данных: 25% train (старая серия, ненадёжно)",0.423077,0.449684,0.447964,0.466783,0.40081,0.433794,N/A,N/A,0.343111,0.393074,0.332759,0.369707,0.354128,0.419593,N/A,N/A,0.497119,0.503279,0.575238,0.579245,0.437681,0.444928,N/A,N/A
scaling_trainfrac50,Масштабирование данных: 50% train,0.500835,0.517998,0.531915,0.542461,0.473186,0.495645,0.677987,0.935921,0.44306,0.469657,0.453965,0.471315,0.432667,0.468011,0.628221,0.946557,0.551887,0.560938,0.605695,0.611064,0.506859,0.518412,0.666387,0.940202
train_run_esm2_50,Масштабирование данных: 50% train (старая серия),0.491272,0.512125,0.505128,0.518303,0.478155,0.506093,0.704602,0.945501,0.42794,0.463944,0.413675,0.437705,0.443223,0.49353,0.651837,0.935941,0.547451,0.555382,0.596581,0.601351,0.505797,0.515942,0.690551,0.964799
scaling_trainfrac60,Масштабирование данных: 60% train,0.542226,0.559166,0.567907,0.577947,0.518767,0.541568,0.708978,0.942777,0.51259,0.532265,0.528757,0.540687,0.497382,0.524102,0.667193,0.954705,0.567392,0.582011,0.602107,0.610626,0.536462,0.555957,0.687416,0.949812
scaling_trainfrac70,Масштабирование данных: 70% train,0.542449,0.561163,0.56147,0.572488,0.524674,0.550277,0.705251,0.950372,0.520758,0.540903,0.540262,0.552007,0.502613,0.530237,0.638778,0.957793,0.560358,0.577843,0.578907,0.589339,0.54296,0.566787,0.688514,0.954623
train_run_esm2_75,Масштабирование данных: 75% train (старая серия),0.558734,0.577387,0.58796,0.598748,0.532275,0.557499,0.739530,0.960968,0.59887,0.619963,0.635153,0.645995,0.566508,0.595948,0.719354,0.972975,0.526892,0.543575,0.551042,0.561546,0.504771,0.526718,0.690263,0.955005
scaling_trainfrac80,Масштабирование данных: 80% train,0.519218,0.533703,0.570283,0.578631,0.476547,0.495249,0.687999,0.944944,0.50544,0.51925,0.587356,0.59435,0.443576,0.460999,0.609341,0.946455,0.529791,0.544703,0.5584,0.567737,0.503971,0.523466,0.693867,0.956141
scaling_trainfrac90,Масштабирование данных: 90% train,0.56519,0.57875,0.603317,0.610818,0.531596,0.549881,0.723554,0.950528,0.578381,0.592558,0.624242,0.631318,0.538797,0.558282,0.683682,0.951894,0.554455,0.567547,0.586624,0.594466,0.525632,0.54296,0.709682,0.959313
train_run_3di_only,"Только 3Di (структура, без ESM)",0.06131,0.061789,0.173042,0.173042,0.037255,0.037609,0.345556,0.905245,0.110917,0.112426,0.173042,0.173042,0.081615,0.08326,0.372490,0.903307,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.911609
